Título,Empresa,Ubicación,Publicado en,Descripción,Enlace
Desarrollador Python Senior - Trabajo Remoto,BairesDev,Anywhere,LinkedIn,"En BairesDev® llevamos 15 años liderando proyectos de tecnología para clientes como Google, Rolls-Royce y las startups más innovadoras de Silicon Valley. Actualmente, contamos con un equipo de 4000 profesionales conformado por el top 1% de la industria trabajando de forma remota desde más de 50 países.

Al postularte a esta vacante, estarás dando el primer paso en un proceso que va más allá de lo convencional: Buscaremos conocer en profundidad tus habilidades, intereses y expectativas con el objetivo de realizar una búsqueda personalizada y encontrar el rol ideal para ti en BairesDev.

Desarrollador Python Senior en BairesDev

Buscamos un Desarrollador Python Senior con 7+ años de experiencia para construir sistemas de backend escalables y orientados a eventos. El candidato ideal tiene experiencia en Python y FastAPI (o Flask/Django) y un fuerte conocimiento en arquitectura de microservicios y sistemas orientados a eventos. Esta es una gran oportunidad para un desarrollador proactivo, listo para asumir desafíos en un entorno dinámico de startups del sector salud.

Lo que harás:

- Desarrollar y mantener servicios backend escalables con Python y FastAPI (o Flask/Django).

- Diseñar e implementar sistemas orientados a eventos y arquitecturas basadas en microservicios.

- Utilizar Google Cloud Platform (GCP) para el despliegue y gestión eficiente de aplicaciones backend.

- Trabajar con Docker para la contenedorización y optimización de procesos de despliegue.

- Procesar y analizar grandes volúmenes de datos, asegurando un rendimiento óptimo y escalabilidad.

- Implementar pipelines de CI/CD y mantener altos estándares de calidad y automatización.

- Colaborar estrechamente con equipos multidisciplinarios para desarrollar soluciones innovadoras en salud.

- Contribuir a decisiones estratégicas sobre escalabilidad y arquitectura del sistema.

Lo que buscamos:

Habilidades esenciales:

- 7+ años de experiencia en desarrollo backend con Python.

- Sólidos conocimientos en FastAPI, Flask o Django.

- Inglés avanzado.

Habilidades importantes:

- Experiencia con Google Cloud Platform (GCP).

- Conocimientos avanzados en Docker y entornos contenedorizados.

- Experiencia en sistemas orientados a eventos y arquitectura de microservicios.

- Experiencia en entornos Agile.

Habilidades deseadas (entrenables):

- Experiencia en diseño de arquitecturas escalables.

- Familiaridad con tecnologías de salud (Oura, Whoop, Apple Watch, monitores de glucosa).

- Experiencia en startups o mentalidad emprendedora.

- Habilidades de comunicación para colaborar entre equipos.

- Experiencia en el manejo, procesamiento y análisis de grandes volúmenes de datos.

- Familiaridad con pipelines de CI/CD y buenas prácticas de DevOps.

Qué ofrecemos para que tu trabajo (y tu vida) seja mais fácil:

- Trabajo 100% remoto: trabaja desde tu casa o donde quieras.

- Compensación en USD o en tu moneda local, como prefieras, muy por encima de la media del mercado.

- Hardware y software.

- Horarios flexibles

- Licencias por mater/paternidad, vacaciones y días festivos nacionales pagos.

- Ambiente laboral multicultural e innovador, perfecto para hacer amigos, colaborar y aprender de las personas más talentosas del mundo.

- Oportunidades de crecimiento y desarrollo profesional a través de mentorías y entrenamientos.

¡Únete a nuestro equipo global!",No disponible
Desarrollador Python Junior - Trabajo Remoto | REF#280789,BairesDev,Anywhere,LinkedIn,"En BairesDev® llevamos 15 años liderando proyectos de tecnología para clientes como Google, Rolls-Royce y las startups más innovadoras de Silicon Valley. Actualmente, contamos con un equipo de 4000 profesionales conformado por el top 1% de la industria trabajando de forma remota desde más de 50 países.

Al postularte a esta vacante, estarás dando el primer paso en un proceso que va más allá de lo convencional: Buscaremos conocer en profundidad tus habilidades, intereses y expectativas con el objetivo de realizar una búsqueda personalizada y encontrar el rol ideal para ti en BairesDev.

Desarrollador Python Junior en BairesDev

Sumérgete en el rol de Desarrollador Python Junior junto a nuestro equipo de desarrollo. Aquí, tendrás la oportunidad de destacarte en Python y frameworks clave. Tus contribuciones impactarán directamente en el desarrollo de aplicaciones de vanguardia, mientras colaboras con un equipo solidario y experimentado.

Lo Que Harás
• Desarrollar y mantener aplicaciones Python, enfocándote en escribir código limpio, eficiente y bien documentado.
• Colaborar con equipos de desarrollo en diversos proyectos, contribuyendo a diferentes etapas del ciclo de vida del desarrollo de software.
• Identificar y solucionar errores de software, participando en la implementación de soluciones y optimizaciones.
• Participar en revisiones de código, tanto revisando el de otros como haciendo que revisen el tuyo, para mantener una alta calidad de software y aprender mejores prácticas.
• Mantenerte actualizado con nuevos frameworks y bibliotecas de Python. Aplicar estas tecnologías de manera efectiva en proyectos nuevos y existentes.
• Participar activamente en reuniones y discusiones de equipo, contribuyendo con ideas y comentarios para mejorar el desarrollo del proyecto.

Lo Que Buscamos
• 1 año de experiencia con Python.
• Buen conocimiento de algoritmos básicos y estructuras de datos.
• Conocimiento básico de sistemas de control de versiones, preferiblemente Git.
• Capacidad para resolver problemas de manera efectiva y aprender nuevas tecnologías rápidamente.
• Buen nivel de inglés.

Qué ofrecemos para que tu trabajo (y tu vida) sea más fácil:
• Trabajo 100% remoto: trabaja desde tu casa o donde quieras.
• Compensación en USD o en tu moneda local, como prefieras, muy por encima de la media del mercado.
• Hardware y software.
• Horarios flexibles
• Licencias por mater/paternidad, vacaciones y días festivos nacionales pagos.
• Ambiente laboral multicultural e innovador, perfecto para hacer amigos, colaborar y aprender de las personas más talentosas del mundo.
• Oportunidades de crecimiento y desarrollo profesional a través de mentorías y entrenamientos.

¡Únete a nuestro equipo global!",No disponible
Desarrollador Backend Junior Python / Investigación + Desarrollo - Trabajo Remoto | REF#272736,BairesDev,Anywhere,LinkedIn,"En BairesDev® llevamos 15 años liderando proyectos de tecnología para clientes como Google, Rolls-Royce y las startups más innovadoras de Silicon Valley. Actualmente, contamos con un equipo de 4000 profesionales conformado por el top 1% de la industria trabajando de forma remota desde más de 50 países.

Al postularte a esta vacante, estarás dando el primer paso en un proceso que va más allá de lo convencional: Buscaremos conocer en profundidad tus habilidades, intereses y expectativas con el objetivo de realizar una búsqueda personalizada y encontrar el rol ideal para ti en BairesDev.

Desarrollador Backend Junior Python / Investigación + Desarrollo en BairesDev

Buscamos excelentes Desarrolladores Backend Junior Python para unirse al Equipo de Investigación y Desarrollo (I+D) de BairesDev.

Nuestro equipo de I+D es la parte esencial de nuestras soluciones tecnológicas que impulsan millones en ingresos cada año, por lo que sólo contratamos lo mejor de lo mejor.

Dentro del equipo encontrarás muchos retos diferentes: Análisis de datos, Machine Learning, Desktop y desarrollos web son algunos de los más relevantes ahora mismo, para impulsar la innovación, ¡notarás que cada día surgen cosas nuevas!

El área de I+D es sin duda el área más interesante y desafiante de toda la empresa, y aunque BairesDev está conformada por gente realmente talentosa en general, aquí encontrarás profesionales con amplia experiencia, altos niveles intelectuales, creativos y muy por encima de la media.

Queremos que la gente disfrute del viaje. ¿Estás preparado?

Qué Harás
• Trabajar en estrecha colaboración con sus Stakeholders de Ingeniería y Negocio para apoyar la entrega del proyecto.
• Integrarse con el equipo DevOps para ejecutar tareas.

¿Qué Buscamos?:
• 1+ año de experiencia práctica en desarrollo con Python y Django.
• Experiencia en desarrollo con programación orientada a objetos es deseable.
• 1 año de desarrollo utilizando otros lenguajes de programación.
• Buenas habilidades con XML y bases de datos relacionales (Oracle / MS SQL / MySQL).
• Experiencia profesional trabajando con grandes estructuras de datos (incluyendo XML) y algoritmos.
• Nivel avanzado de inglés.

Qué ofrecemos para que tu trabajo (y tu vida) sea más fácil:
• Trabajo 100% remoto: trabaja desde tu casa o donde quieras.
• Compensación en USD o en tu moneda local, como prefieras, muy por encima de la media del mercado.
• Hardware y software.
• Horarios flexibles
• Licencias por mater/paternidad, vacaciones y días festivos nacionales pagos.
• Ambiente laboral multicultural e innovador, perfecto para hacer amigos, colaborar y aprender de las personas más talentosas del mundo.
• Oportunidades de crecimiento y desarrollo profesional a través de mentorías y entrenamientos.

¡Únete a nuestro equipo global!",No disponible
Desarrollador Python/AWS - Hibrido Santiago,KPaz,"Santiago, Chile",LinkedIn,"Somos KPaz, compañía que cuenta con 10 años en el mercado entregando soluciones de Innovación Tecnológica, Pioneros en desarrollos inteligentes, especialistas en transformación digital y líderes en consultoría TI apostando continuamente por el valor y talento de las personas que integran nuestro equipo de trabajo. Nos encontramos en búsqueda de más KPaces que quieran formar parte de nuestro gran equipo.

✔Como Desarrollador Python, buscamos que te involucres en el desarrollo de distintas soluciones que involucran extracción, transformación y carga de datos masivosde distintas soluciones que involucran extracción, transformación y carga de datos masivos.

⬇⬇ Requisitos⬇⬇
• Ingeniero informático o carrera afín
• 3 años de experiencia
• Python.
• AWS.
• Postgresql
• SQL
• Excel macro vba y Onedrive

⬇⬇Beneficios de ser un KPaz ⬇⬇
• Seguro de vida
• Seguro complementario de salud
• Reajuste IPC (Semestral)
• Programa de referidos clientes y candidatos
• Programa de capacitación en alianza con Platzi
• Plan de carrera y de Movilidad
• Día de libre por cumpleaños
• Regalos por nacimiento o matrimonio",No disponible
Desarrollador Python Y Laravel,HF Solutions,"Santiago, Chile",Indeed Chile,"Oferta de Trabajo: Desarrollador Python y Laravel

HF Solutions está buscando un Desarrollador Python y Laravel para unirse a nuestro equipo en constante crecimiento.

Nos dedicamos a brindar soluciones tecnológicas innovadoras y personalizadas a nuestros clientes.

¡Buscamos Desarrollador Python con experiencia en Laravel!

¿Tienes experiencia en desarrollo backend y estás buscando un nuevo desafío? ¡Queremos conocerte!

Requisitos:
• Experiencia sólida en desarrollo con Python.
• Dominio de Laravel para proyectos en PHP.
• Habilidad para trabajar en equipo y cumplir plazos.

Modalidad:
• Híbrida: 3 días a la semana en oficina ubicada en Santiago Centro.

Ofrecemos:
• Proyectos innovadores y desafiantes.
• Excelente ambiente laboral.
• Remuneración competitiva y posibilidades de desarrollo profesional.

¡Únete a nuestro equipo y construyamos el futuro juntos!",No disponible
Software Engineer - Python and K8s,Canonical,Anywhere,LinkedIn,"Our mission is to reinvent the way companies manage their open source information systems - on public clouds and in their own data centres. To achieve that we are building a new community around Python opscode for open source applications, running on Kubernetes. We want to move all of Canonical and Ubuntu IS onto this new, open source codebase.

We are confident that we can dramatically improve the experience of running complex business operations - and then we can help our customers embrace those new techniques and products. Traditionally, IS is an inward-facing operation. We would like to transform our IS team into an extension of the product engineering capability at Canonical. Our internal workloads are in many cases the same open source workloads that our customers want to operate. This team will productise those workloads for real-time automated operations on Kubernetes.

This role is ideal for software engineers who enjoy Python, have a passion for distributed systems, and an interest in the entire Linux stack - from kernel to networking to virtualization and containers. It is a role that requires rigour in both code and customer interactions. Our engineers are technically astute open source enthusiasts who are excited about cloud computing and are ready to join a global team charged with delivering world class services to our customers.

Strong Python development skills and familiarity with Kubernetes are key requirements of this role. You'll work closely with other teams in Canonical to ensure your products operate reliably, efficiently and scale to production sized workloads for our customers looking to adopt cutting-edge technology. You will participate and be responsible for ensuring sound software architecture and follow best practices in software quality, testing and documentation.

What you'll do
• Work in Python to design and deliver open source software operations code
• Work across the entire Linux stack, from kernel, networking, storage, to applications
• Learn to think rigorously about application and infrastructure reliability
• Shape high quality open source monitoring and alerting infrastructure
• Simplify open source operations for our customers and open source community
• Demonstrate sound engineering design and testing principles in your code
• Follow agile software development practices
• Coach and develop your colleagues where you have insights
• Grow a healthy, collaborative engineering culture in line with company values
• Work from home with global travel once or twice a year for up to 2 weeks for events

Who you are
• You love technology and working with brilliant people
• You have a Bachelor's or equivalent in Computer Science, STEM or similar degree
• You are experienced with Linux systems administration, package management, and operations
• You have hands-on experience with at least one public cloud
• You are familiar with Docker and Kubernetes
• You are an experienced Python programmer and enjoy challenging projects
• You understand the importance of reliable software and strive to design and code to that expectation
• You are organized and want your team to deliver timely, high quality software

About Canonical

Canonical is a growing international software company that works with the open-source community to deliver Ubuntu, ""the world's best free software platform"". Our mission is to realise the potential of free software in the lives of individuals and organisations. Our services are helping individuals and businesses worldwide to reduce costs, improve efficiency and enhance security with Ubuntu.

We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity we will give your application fair consideration.

#Stack",No disponible
Junior Software Developer - Observability,Canonical,Anywhere,LinkedIn,"Canonical seeks a Junior developer with a proven track record in Python and/or Go. As part of the Observability team, you will develop a cloud-native monitoring stack that composes best-in-class open-source monitoring tools. The stack is opinionated, resilient, and scalable, providing deep insights out of the box. The user experience is polished and seamless for the end-users, and its administrators will enjoy smooth, lightweight Day 1 and Day 2 operations.

This is an exciting opportunity for a software engineer passionate about open source software, Linux, Kubernetes, and Observability. Build a rewarding, meaningful career working with the best and brightest people in technology at Canonical, the growing international software company behind Ubuntu.

The monitoring stack will monitor applications running on a mix of cloud technologies such as Kubernetes and OpenStack, as well as bare-metal, virtual machines and containers. The stack will be capable of monitoring applications and infrastructure irrespective of whether they are operated by Juju, and will leverage multiple data sources at various levels of the architecture, including Juju itself, to contextualize the collected telemetry and insights delivered to the end-users.

You can read more about the project here and here.

Location: This role will be based remotely in the EMEA and Americas regions

What your day will look like
• Collaborate proactively with a globally distributed team
• Write, test and document high quality code to create new features
• Debug issues and interact with a vibrant community
• Review code produced by other engineers
• Attend conferences to represent Canonical and the Charmed Observability Stack
• Work from home with global travel 2 to 4 weeks for internal and external events

What we are looking for in you
• You love technology and working with brilliant people
• You value soft skills and are passionate, enterprising, thoughtful, and self-motivated
• You have a Bachelor's or equivalent in Computer Science, STEM or similar degree
• You are a skilled Python developer, preferably with a track record in open source
• You have a working knowledge of Go
• You have interest and experience with two or more of the following: Ubuntu Linux, container images, Debian packaging, snap, distributed systems.

What we offer you

Your base pay will depend on various factors including your geographical location, level of experience, knowledge and skills. In addition to the benefits above, certain roles are also eligible for additional benefits and rewards including annual bonuses and sales incentives based on revenue or utilisation. Our compensation philosophy is to ensure equity right across our global workforce.

In addition to a competitive base pay, we provide all team members with additional benefits, which reflect our values and ideals. Please note that additional benefits may apply depending on the work location and, for more information on these, please ask your Talent Partner.
• Fully remote working environment - we've been working remotely since 2004!
• Personal learning and development budget of 2,000USD per annum
• Annual compensation review
• Recognition rewards
• Annual holiday leave
• Parental Leave
• Employee Assistance Programme
• Opportunity to travel to new locations to meet colleagues at 'sprints'
• Priority Pass for travel and travel upgrades for long haul company events

About Canonical

Canonical is a pioneering tech firm that is at the forefront of the global move to open source. As the company that publishes Ubuntu, one of the most important open source projects and the platform for AI, IoT and the cloud, we are changing the world on a daily basis. We recruit on a global basis and set a very high standard for people joining the company. We expect excellence - in order to succeed, we need to be the best at what we do.

Canonical has been a remote-first company since its inception in 2004. Work at Canonical is a step into the future, and will challenge you to think differently, work smarter, learn new skills, and raise your game. Canonical provides a unique window into the world of 21st-century digital business.

Canonical is an equal opportunity employer

We are proud to foster a workplace free from discrimination. Diversity of experience, perspectives, and background create a better work environment and better products. Whatever your identity, we will give your application fair consideration.",No disponible
Desarrollador Python,Sii,"Santiago, Chile",Indeed Chile,"¡Únete a SII Group como Desarrollador Python! ✨

¿Te apasiona enfrentar desafíos tecnológicos y trabajar en un equipo que valora la innovación? ¡Entonces este es tu lugar!

Responsabilidades Clave:

✅ Diseñar y desarrollar microservicios utilizando Python en entornos GCP y AWS .
✅ Participar en la arquitectura de soluciones escalables y eficientes.
✅ Colaborar con equipos multidisciplinarios en la integración y despliegue de servicios.
✅ Mantener y optimizar los microservicios existentes para garantizar alto rendimiento y seguridad.
✅ Brindar soporte y resolver problemas en los servicios desarrollados.

Requisitos:

✔️ Experiencia mínima de 3 años en Desarrollador P ython .
✔️ Experiencia en desarrollo de microservicios .
✔️ Manejo de Google Cloud Platform (GCP), Anthos y AWS .
✔️ Familiaridad con herramientas de CI/CD .
✔️ Conocimientos en bases de datos SQL y NoSQL .

Se Valora:

✨ Experiencia en contenedores y orquestación (Docker, Kubernetes).
✨ Conocimiento en frameworks de Python para microservicios.
✨ Experiencia con metodologías ágiles (Scrum, Kanban).

Sobre SII Group

Somos un grupo global con más de 16.000 profesionales en todo el mundo, con un fuerte enfoque en la transformación digital en sectores como banca, telecomunicaciones y más.

Creemos en la innovación, en que las personas son nuestro mayor activo y en la creación de un entorno donde el trabajo sea tanto desafiante como divertido. ¡#Fungineer es más que un lema!

Beneficios en SII Group Chile
• Tu tiempo nos importa : días administrativos libres.

Queremos que te desarrolles : Programas de capacitaciones a tu medida.
Ser #Fungineer es divertido : ¡FunFridays y eventos varios!
¿Te interesa?

Envíanos tu CV y pretensiones de renta a:
seleccion@siigroup.cl

Required skills

Python

SQL",No disponible
Senior Python Developer,TCIT Cloud Solutions,"Santiago, Chile",LinkedIn,"Una de nuestras misiones en TCIT es descubrir y potenciar a los mejores talentos, por lo que te invitamos a ser parte de nuestro team!

Nuestro propósito es transformar digitalmente a distintas organizaciones a través de soluciones de calidad, sostenibles e innovadoras. Trabajamos con metodologías ágiles, utilizamos tecnologías de última generación y somos expertos en desarrollo de software en tecnologías Cloud.

Algunos de nuestros desarrollos son un sistema de gestión agrícola, un sistema de remates en línea, un sistema de gestión de las causas para los tribunales judiciales, un sistema para monitoreo de certificaciones para trabajadores mineros, un sistema de liquidaciones de sueldo y otras soluciones de gestión de empresas en ámbitos como transporte de carga y bodegaje, entre muchos otros.

Además, trabajamos en países como Canadá en ambiciosos proyectos con nuestros partners tecnológicos.

¡Súmate a la revolución digital TCIT!

¿Qué harás?
• Diseñar, desarrollar y mantener soluciones en Python para automatizar procesos financieros.
• Garantizar que el equipo desarrolle soluciones que cumplan con las regulaciones y normativas del sector financiero.
• Colaborar con el equipo en la implementación de integraciones y automatizaciones
• Creación, mantenimiento y optimización de APIs y microservicios escalables, eficientes y bien integrados con otros sistemas.
• Responsable de definir y gestionar los tiempos de los proyectos, identificando los recursos necesarios y asegurando la correcta asignación de tareas al equipo.
• Realizar seguimiento continuo de los avances dentro de los proyectos, monitoreando el progreso del equipo, ofreciendo soporte y eliminando obstáculos para cumplir con los hitos.
• Encargado de la mantención y mejora continua de sistemas, plataformas y aplicaciones, corregir errores, optimizar funcionamientos según las necesidades de cada proyecto.
• Implementar procesos de control de calidad que aseguren el funcionamiento óptimo y la escalabilidad de las soluciones.
• Entender las necesidades del negocio transformandolas en soluciones eficientes
• Supervisar la integración de nuevas tecnologías y soluciones fuera del sistema actual.
• Proponer y desarrollar mejoras continuas en la arquitectura técnica
• Asegurar que la arquitectura se mantenga escalable, segura y alineada con las necesidades futuras del negocio.
• Asegurar la implementación de buenas prácticas dentro del área de desarrollo
• Supervisar que las soluciones del equipo cumplan con todas las normativas financieras vigentes.
• Participar en decisiones estratégicas, gestionando riesgos técnicos y alineando la hoja de ruta con los objetivos empresariales.
• Garantizar una eficiente asignación de recursos y promover la formación continua del equipo, organizando capacitaciones y fomentando nuevas habilidades.

¿Cómo nos gustaría que fueras?
• Título profesional de ingeniero en informática, ingeniero civil en TI, o carrera afín
• Desde 7 años de experiencia en desarrollo con python
• Experiencia en el manejo de soluciones en la nube
• Experiencia en la creación, mantenimiento y optimización de APIs y microservicios
• Capacidad de tomar requerimientos directamente del área de negocio y convertirlos en soluciones técnicas.
• Conocimiento en el área de negocio (banca, finanzas, etc) [deseable]
• Disponibilidad para asistir presencial a la oficina en las condes

Te amaríamos más si
• Cuentas con manejo de Power Automate para automatizaciones de procesos (deseable)

Beneficios TCIT
• Nuestras oficinas quedan a pasos del metro
• Tendrás permisos flexibles
• Más días de vacaciones
• Estamos afiliados a Caja de Compensación Los Andes, por lo que puedes acceder a sus cientos de beneficios y convenios
• Estamos afiliados a la ACHS, por lo que tendrás acceso a capacitaciones, beneficios y convenios
• Somos Google Partners, lo que significa que puedes certificarte de manera gratuita!
• Tenemos estacionamiento para bicicletas
• ¡Nos encantan los asados y usamos cualquier excusa para juntarnos y compartir!

¡Te esperamos!",No disponible
Desarrollador Python Full Stack para Proyecto web y app móvil,Vigilante On Line,"Providencia, Chile",Indeed Chile,"En Vigilante On Line, somos especialistas en el servicio de seguridad tecnologica para las empresas agrícolas. Actualmente, estamos desarrollando una plataforma tecnológica innovadora y disruptiva, para lo cual necesitamos al mejor desarrollador para ser llevar a cabo nuestro proyecto tecnológico.

Si tienes experiencia como Desarrollador Full Stack, te apasionan los desafíos tecnológicos y quieres formar parte de un proyecto en constante evolución, ¡te estamos buscando!

El Rol:

Buscamos un Desarrollador Python Full Stack con experiencia comprobable para unirse a nuestro equipo y participar activamente en el diseño, desarrollo y mejora continua de nuestra plataforma. Si te entusiasma el desarrollo web, las aplicaciones móviles y ser parte del crecimiento de nuestra empresa, esta es la oportunidad perfecta para ti.

Requisitos imprescindibles:
• Más de 3 años de experiencia en desarrollo con Python (excluyente).
• Experiencia en aplicaciones web (excluyente) y móviles (deseable).
• Conocimientos avanzados en bases de datos (preferentemente MySQL).
• Diseño y consumo de APIs REST.

Lo que será un plus:
• Conocimientos en diseño UI/UX para optimizar la experiencia del usuario.
• Conocimientos de seguridad en aplicaciones y protección de datos.
• Capacidad para plasmar las ideas en un desarrollo real y funcional.

Te ofrecemos:
• Trabajo 100% presencial, con la posibilidad de impactar directamente en proyectos innovadores.
• Sueldo líquido mensual de $1.200.000.
• Entorno de trabajo dinámico, con oficina ubicada en Providencia, con un equipo de alto rendimiento.
• La oportunidad de impactar directamente en proyectos que están marcando la diferencia en el mundo agrícola.
• Seguro de salud complementario y seguro de vida.

Si eres un profesional proactivo, apasionado por la tecnología y deseas ser parte de un proyecto con impacto real, ¡queremos conocerte!

¡Postula ahora y forma parte de un equipo que está revolucionando la seguridad agrícola con tecnología de vanguardia!

Tipo de puesto: Tiempo completo, Indefinidio

Sueldo: $1.200.000 al mes

Pregunta(s) de postulación:
• Por favor comenta brevemente tu experiencia previa en el desarrollo de páginas web
• Por favor comenta brevemente tu experiencia previa en el desarrollo de app móviles

Experiencia:
• Python: 3 años (Obligatorio)",No disponible
Desarrollador JavaScript,Readiness IT,"Santiago, Chile",Indeed Chile,"Descripción del cargo:
• Desarrollar soluciones a partir de diseños y requerimientos indicados por el área de negocio.
• Estimar esfuerzos en conjunto con líder técnico.
• Participar en reuniones de discusión de soluciones.
• Dar soporte a pruebas de negocios, de los desarrollos realizados.

Requerimientos:

Nivel Educacional Requerido:
• Ingeniero Ejecución informático(a)
• Ingeniero Civil Informático(a)
• Ingeniero Informático(a)

Experiencia laboral:
• Experiencia mínima de 5 años como Desarrollador Backend.
• Experiencia con web service (REST o SOAP)

Formación Adicional (Deseable):
• Idiomas: Inglés técnico (Intermedio).

Requisitos Técnicos (Indispensables)

Conocimiento en:
• JavaScript a nivel intermedio.
• Framework desarrollo: NestJS
• SQL Server.

Manejo de:
• SQL a nivel intermedio.
• Programación MVC
• Flujos

Requisitos Técnicos (Deseables):

Conocimiento en:
• C#, Java
• Spring boot
• CCS, JQuery, HTML
• Conocimiento de seguros.
• Código: TypeScript
• Servicios de plataforma: Pub/Sub GCP

Beneficios:
• Flexibilidad laboral.
• Día libre de Cumpleaños.
• Seguro de Salud.
• Capacitaciones.
• Descuentos exclusivos para ti.
• Happy Holidays (Bono de vacaciones).
• Trabaja desde donde quieras (Puedes trabajar en un lugar distinto a tu domicilio hasta 3 veces en el año).

Tipo de puesto: Tiempo completo

Pregunta(s) de postulación:
• ¿Manejas el inglés técnico a nivel intermedio?

Experiencia:
• Desarrollador Backend: 5 años (Deseable)",No disponible
Desarrolladores Full-Stack JavaScript,Acid Labs,"Santiago, Chile",Indeed Chile,"Descripción de la empresa

Acid Labs es una pequeña fábrica de software web y móvil basada en Chile, pero atendiendo también para Perú y Colombia, aunque con mayores objetivos aún en la mira.

Somos un equipo muy flexible de más de 80 desarrolladores y diseñadores, sin código de vestimenta, sin horarios fijos y con mucha cerveza para discutir nuevas ideas.

Descripción del empleo

Para nuestro equipo buscamos desarrolladores que tengan mucha experiencia y se sientan cómodos con JavaScript tanto en Node.js como en el front. Necesitamos personas motivadas por estar aprendiendo y que se mantengan al día, por lo mismo debiesen sentirse confiados utilizando ES6+

¿Qué debes manejar para postular?

Si quieres ser parte de Acid como un programador JavaScript Full-Stack, debes comprender los protocolos HTTP y el trabajo con bases de dato relacionales y/o no relacionales. Además, debes tener experiencia con algún framework REST como Express, Koa, Hapi u otro.

Para trabajar en el front, es importante que hayas utilizado React js, Vue o AngularJS. También debes saber utilizar CSS desde preprocesadores como SASS.

¿Qué te hace un mejor candidato para el puesto?
• Tener experiencia o conocimientos de Webpack, Gulp u otro.
• Entender el manejo de estados en el front utilizando librerías como Redux o MobX.
• Manejar la programación funcional y estar familiarizado con el uso de métodos como map, filter, reduce, etc.
• Ser un programador con iniciativa que disfruta aprender y solucionar problemas.

Cuéntanos en tu postulación si conoces otras tecnologías relacionadas al mundo JavaScript y cuál ha sido tu experiencia utilizándolas.

Nos gusta el desarrollo de software de calidad, usamos mucho Git, testing, multiples lenguajes y otras herramientas de punta.

Estamos a una cuadra del metro Los Leones, un barrio con mucha actividad, mucho que hacer y cerca de todo.

Requisitos

Beneficios

Somos un equipo muy flexible de más de 80 profesionales. No tenemos horarios fijos ni códigos de vestimenta y disponemos de mucha cerveza para discutir nuevas ideas, además de una sala de juegos con PS4, Nintendo Wii y Arcade.

Dentro de nuestros beneficios de empresa están:
• Seguro de salud Complementario.
• Caja los Andes.
• Convenio con Sportlife.
• Bono por hijos.
• Bono por matrimonio.
• Descuento especial en Salcobrand.
• Viernes de cervezas!

Para Extranjeros

El trabajo es presencial en Santiago de Chile, ofrecemos como Relocation Package el pago del pasaje, más un mes de departamento en Santiago de Chile para que puedas llegar tranquilo a tu nueva ciudad.

Proveemos el sponsor de tu Visa de Trabajo a través de Visa Tech Chile, no es necesario que tengas Visa de trabajo activa en Chile, nosotros te ayudamos con la gestión.

Información adicional

Toda tu información se mantendrá confidencial de acuerdo con las directrices de EEO.",No disponible
